dimensiones,precio,tipo,disponibilidad,desarrollo,etapa,calle,observaciones
160.00,210240.00,Regular,Disponible,Bonaterra,1,Calle Colibri,
160.00,210240.00,Regular,Disponible,Bonaterra,1,Calle Colibri,
160.00,210240.00,Regular,Disponible,Bonaterra,1,Calle Colibri,
160.00,210240.00,Regular,Disponible,Bonaterra,1,Calle Colibri,
160.00,210240.00,Regular,Disponible,Bonaterra,1,Calle Colibri,
160.00,210240.00,Regular,Disponible,Bonaterra,1,Calle Colibri,
160.00,210240.00,Regular,Disponible,Bonaterra,1,Calle Colibri,
160.00,210240.00,Regular,Disponible,Bonaterra,1,Calle Colibri,
160.00,210240.00,Regular,Disponible,Bonaterra,1,Calle Colibri,
160.00,210240.00,Regular,Disponible,Bonaterra,1,Calle Colibri,
160.00,210240.00,Regular,Disponible,Bonaterra,1,Calle Colibri,
160.00,210240.00,Regular,Disponible,Bonaterra,1,Calle Colibri,
160.00,210240.00,Regular,Disponible,Bonaterra,1,Calle Colibri,
160.00,210240.00,Regular,Disponible,Bonaterra,1,Calle Colibri,
160.00,210240.00,Regular,Disponible,Bonaterra,1,Calle Colibri,
160.00,210240.00,Regular,Disponible,Bonaterra,1,Calle Colibri,
160.00,210240.00,Regular,Disponible,Bonaterra,1,Calle Colibri,
